,0
0,15.72367811203003
1,6.67880392074585
2,6.7720112800598145
3,6.518096685409546
4,6.772340297698975
5,6.606414318084717
6,6.723179817199707
7,6.70362401008606
8,6.54965615272522
9,6.8205485343933105
10,6.89604115486145
11,6.9013512134552
12,6.92016863822937
13,6.6742799282073975
14,6.712075471878052
15,6.667133092880249
16,6.672000169754028
17,6.577903985977173
18,6.570812225341797
19,6.7371673583984375
20,6.8072216510772705
21,6.476886987686157
22,6.516739130020142
23,6.658567428588867
24,6.650301218032837
25,6.47160792350769
26,6.802422046661377
27,6.623460531234741
28,6.618839502334595
29,6.621946096420288
30,6.52034854888916
31,6.7749183177948
32,6.7600531578063965
33,6.623594760894775
34,6.771497011184692
35,6.68850302696228
36,6.9215168952941895
37,6.569056034088135
38,6.835520029067993
39,6.70699405670166
40,6.705042362213135
41,6.406782388687134
42,6.452642202377319
43,6.604289531707764
44,6.480013132095337
45,6.700754880905151
46,6.703916549682617
47,6.842872381210327
48,6.756685972213745
49,6.686364412307739
50,6.707992076873779
51,6.562032461166382
52,6.718492269515991
53,6.738057374954224
54,6.625176668167114
55,6.647395133972168
56,6.6720123291015625
57,6.84571099281311
58,6.819460153579712
59,6.8532774448394775
60,6.768042087554932
61,6.610350131988525
62,6.994630575180054
63,6.52856969833374
64,6.722589731216431
65,6.64989447593689
66,6.840786695480347
67,6.545315504074097
68,6.5813562870025635
69,6.733668804168701
70,6.701342344284058
71,6.676368236541748
72,6.612934350967407
73,6.441026210784912
74,6.598435163497925
75,6.444076776504517
76,6.610806226730347
77,6.782559871673584
78,6.682753562927246
79,6.740898609161377
80,6.926752328872681
81,6.84317421913147
82,6.833099365234375
83,6.783519744873047
84,6.8919453620910645
85,6.927267074584961
86,6.92454195022583
87,6.841044664382935
88,6.6910765171051025
89,6.6365320682525635
90,6.625350713729858
91,6.904541015625
92,6.8263654708862305
93,6.567814350128174
94,6.619413375854492
95,6.568211555480957
96,6.899484872817993
97,6.571510076522827
98,6.718970060348511
99,6.473819732666016
