,0
0,49.633243560791016
1,43.17392182350159
2,42.983861684799194
3,42.85262680053711
4,43.20601511001587
5,43.29253053665161
6,42.899025440216064
7,43.021623611450195
8,43.21293115615845
9,43.20379042625427
10,42.984445333480835
11,43.25808024406433
12,43.34479784965515
13,42.993603467941284
14,43.545018672943115
15,42.88979697227478
16,43.59249711036682
17,43.612300395965576
18,43.49225378036499
19,42.9946711063385
20,43.380918979644775
21,43.181708574295044
22,43.03772830963135
23,42.98217296600342
24,42.907851219177246
25,42.932294607162476
26,42.97648549079895
27,43.165297985076904
28,43.00360298156738
29,43.060508251190186
30,43.37053942680359
31,43.18225860595703
32,42.97581648826599
33,43.05264759063721
34,43.148988485336304
35,43.43473410606384
36,43.1097149848938
37,43.279701232910156
38,43.088618993759155
39,43.28123235702515
40,43.05139112472534
41,43.05511403083801
42,43.258007764816284
43,43.36984062194824
44,43.11966586112976
45,42.943519115448
46,43.017815828323364
47,43.089080572128296
48,43.17202568054199
49,43.03023028373718
50,42.86958932876587
51,43.23108172416687
52,43.08665728569031
53,43.13348698616028
54,43.02777719497681
55,43.306440591812134
56,42.82483267784119
57,43.395018100738525
58,42.904298305511475
59,42.98672556877136
60,42.986998081207275
61,43.28092408180237
62,43.68529653549194
63,43.16822123527527
64,43.22628927230835
65,43.2485613822937
66,43.25224590301514
67,43.20566534996033
68,43.14284372329712
69,42.88772511482239
70,43.459797620773315
71,42.947428464889526
72,42.780344009399414
73,43.18798065185547
74,43.03197526931763
75,43.26009464263916
76,43.099119663238525
77,43.005014419555664
78,43.017836809158325
79,43.07447338104248
80,43.16200280189514
81,42.986469984054565
82,43.24565315246582
83,43.16429400444031
84,43.21405386924744
85,43.309332609176636
86,43.084362268447876
87,42.67057228088379
88,42.981334924697876
89,43.094533920288086
90,43.067551374435425
91,42.84716725349426
92,42.81199812889099
93,43.18359851837158
94,42.91923499107361
95,43.15870380401611
96,43.224080085754395
97,43.041271686553955
98,43.158753633499146
99,42.769033432006836
