,0
0,50.53921461105347
1,46.47613525390625
2,46.33804225921631
3,46.417258501052856
4,46.47326064109802
5,46.49317193031311
6,46.42650866508484
7,46.49727177619934
8,46.42120385169983
9,46.524415016174316
10,46.45304775238037
11,46.377039432525635
12,46.40653944015503
13,46.4325156211853
14,46.28994607925415
15,46.33749461174011
16,46.57896041870117
17,46.51634073257446
18,46.30721163749695
19,46.466185331344604
20,46.58592081069946
21,46.188387393951416
22,46.141765832901
23,46.39532685279846
24,46.57936882972717
25,46.426565408706665
26,46.44127178192139
27,46.32189989089966
28,46.06370830535889
29,46.30130982398987
30,46.442381620407104
31,46.41942477226257
32,46.51918911933899
33,46.42261099815369
34,46.451667070388794
35,46.255378007888794
36,46.43342733383179
37,46.558584690093994
38,46.57831525802612
39,46.27106189727783
40,46.453426361083984
41,46.29029989242554
42,46.2424852848053
43,46.17226791381836
44,46.060821294784546
45,46.286052227020264
46,46.372466802597046
47,46.55106043815613
48,46.316394567489624
49,46.266695737838745
50,46.26187181472778
51,46.2417209148407
52,46.45260214805603
53,46.4979202747345
54,46.39095425605774
55,46.32955026626587
56,46.630067348480225
57,46.2491238117218
58,46.32750964164734
59,46.46060562133789
60,46.237218141555786
61,46.520179986953735
62,46.46953272819519
63,46.155935764312744
64,46.405940771102905
65,46.56153750419617
66,46.55550026893616
67,46.15760064125061
68,46.27648591995239
69,46.44676685333252
70,46.599732875823975
71,46.30043268203735
72,46.24427080154419
73,46.1979603767395
74,46.405558347702026
75,46.32963705062866
76,46.194488525390625
77,46.34203791618347
78,46.41077399253845
79,46.32997441291809
80,46.45799660682678
81,46.08695435523987
82,46.34797406196594
83,46.31214189529419
84,46.247249603271484
85,46.137794971466064
86,46.34402298927307
87,46.09175109863281
88,46.32106566429138
89,46.09951400756836
90,46.2879536151886
91,46.39963936805725
92,46.36759281158447
93,45.80549502372742
94,45.951231956481934
95,46.070473194122314
96,46.26533389091492
97,46.46393918991089
98,46.23959946632385
99,46.36503505706787
